NAME,B17001_001E,B17001_002E,B19013_001E,B23025_003E,B23025_005E,B11004_001E,B11004_010E,B11004_016E,B25070_001E,B25070_007E,B25070_008E,B25070_009E,B25070_010E,state,county,tract,poverty_rate,log_median_income,unemployment_rate,single_parent_rate,rent_burden_rate,GEOID
Census Tract 101; Cook County; Illinois,4183,815,68196,2989,292,787,0,129,1525,72,34,165,440,17,031,010100,0.19483624193162802,11.130141191085121,0.0976915356306457,0.1639135959339263,0.4662295081967213,17031010100
Census Tract 102.01; Cook County; Illinois,8200,2756,61071,3840,157,1597,57,399,2201,180,53,208,417,17,031,010201,0.3360975609756098,11.019792400735156,0.04088541666666667,0.2855353788353162,0.3898228078146297,17031010201
Census Tract 102.02; Cook County; Illinois,2564,609,58698,1492,133,519,9,46,933,58,50,176,209,17,031,010202,0.2375195007800312,10.980160933685484,0.08914209115281502,0.10597302504816955,0.5284030010718114,17031010202
Census Tract 103; Cook County; Illinois,5329,344,68336,3523,142,1208,23,99,1929,180,87,110,649,17,031,010300,0.06455244886470257,11.132191993081248,0.04030655691172296,0.10099337748344371,0.5318818040435459,17031010300
Census Tract 104; Cook County; Illinois,3056,568,48630,2375,76,366,0,21,1468,127,47,34,484,17,031,010400,0.18586387434554974,10.791995903397831,0.032,0.05737704918032787,0.4713896457765668,17031010400
Census Tract 105.01; Cook County; Illinois,3913,422,47858,2809,211,692,0,0,2037,231,86,146,438,17,031,010501,0.10784564272936366,10.775993572039262,0.07511569953720185,0.0,0.4423171330387825,17031010501
Census Tract 105.02; Cook County; Illinois,3308,890,55813,2201,99,607,28,63,1175,104,70,133,325,17,031,010502,0.26904474002418377,10.929762096145357,0.04497955474784189,0.14991762767710048,0.5378723404255319,17031010502
Census Tract 105.03; Cook County; Illinois,2417,1255,18750,1116,43,280,0,8,1124,72,34,72,354,17,031,010503,0.5192387256930079,9.838949031398556,0.03853046594982079,0.02857142857142857,0.47330960854092524,17031010503
Census Tract 106; Cook County; Illinois,6225,914,66313,3964,101,1218,0,107,1825,408,34,140,376,17,031,010600,0.14682730923694778,11.102141235384464,0.02547931382441978,0.08784893267651889,0.5249315068493151,17031010600
Census Tract 107.01; Cook County; Illinois,3590,270,70542,2422,80,994,34,154,759,17,56,177,184,17,031,010701,0.07520891364902507,11.163963556095796,0.03303055326176713,0.1891348088531187,0.5718050065876152,17031010701
Census Tract 107.02; Cook County; Illinois,5145,1013,52193,2569,244,842,74,143,1508,118,178,127,347,17,031,010702,0.19689018464528668,10.862703665261714,0.09497859089139743,0.25771971496437057,0.5106100795755968,17031010702
Census Tract 201; Cook County; Illinois,3927,735,57029,2429,229,974,28,123,1099,107,156,84,228,17,031,020100,0.18716577540106952,10.951315189365955,0.09427748044462742,0.15503080082135523,0.5232029117379435,17031020100
Census Tract 202; Cook County; Illinois,7199,500,117005,3322,153,1656,136,89,453,19,75,0,72,17,031,020200,0.06945409084595083,11.669971947909513,0.04605659241420831,0.1358695652173913,0.36644591611479027,17031020200
Census Tract 203.01; Cook County; Illinois,5429,610,73539,2359,201,1287,39,60,652,20,20,43,189,17,031,020301,0.11235955056179775,11.205571156720927,0.08520559559135227,0.07692307692307693,0.4171779141104294,17031020301
Census Tract 203.02; Cook County; Illinois,4814,298,84205,2514,265,1081,104,82,645,57,36,150,63,17,031,020302,0.06190278354798504,11.341009580890155,0.10540970564836913,0.17206290471785385,0.4744186046511628,17031020302
Census Tract 204; Cook County; Illinois,4235,602,76607,2445,157,1136,92,69,892,178,0,53,235,17,031,020400,0.14214876033057852,11.246443735365446,0.06421267893660532,0.14172535211267606,0.5224215246636771,17031020400
Census Tract 205; Cook County; Illinois,6410,2009,43948,2916,207,1304,224,304,1613,68,153,82,474,17,031,020500,0.31341653666146646,10.690762395820771,0.07098765432098765,0.4049079754601227,0.48171109733415995,17031020500
Census Tract 206.01; Cook County; Illinois,5866,1444,61046,2619,178,1448,136,148,948,48,45,47,278,17,031,020601,0.24616433685646097,11.019382957326798,0.06796487208858343,0.19613259668508287,0.4409282700421941,17031020601
Census Tract 206.02; Cook County; Illinois,5338,654,83839,2904,70,1139,46,155,747,66,110,15,144,17,031,020602,0.12251779692768827,11.33665357200282,0.024104683195592287,0.17647058823529413,0.4484605087014726,17031020602
Census Tract 207.01; Cook County; Illinois,1727,146,92024,913,77,484,0,13,231,37,11,0,72,17,031,020701,0.08453966415749856,11.429804691575846,0.08433734939759036,0.026859504132231406,0.5194805194805194,17031020701
Census Tract 207.02; Cook County; Illinois,8243,1665,68897,3634,306,1900,220,267,1476,17,125,97,412,17,031,020702,0.20198956690525294,11.1403679146895,0.08420473307649973,0.2563157894736842,0.4410569105691057,17031020702
Census Tract 208.01; Cook County; Illinois,5990,753,71953,3871,101,1463,194,128,1190,71,147,37,324,17,031,020801,0.12570951585976628,11.183768407068236,0.026091449237923017,0.22009569377990432,0.4865546218487395,17031020801
Census Tract 208.02; Cook County; Illinois,8708,1608,62212,3497,348,1717,111,286,1394,0,70,102,344,17,031,020802,0.18465778594395957,11.03830318616445,0.09951386903059765,0.23121723937099592,0.3701578192252511,17031020802
Census Tract 209.01; Cook County; Illinois,6179,1287,50243,3456,112,1486,172,334,1394,221,155,84,312,17,031,020901,0.20828613044181907,10.824626512735104,0.032407407407407406,0.3405114401076716,0.5538020086083214,17031020901
Census Tract 209.02; Cook County; Illinois,4069,958,49432,1731,47,963,11,208,913,132,47,104,221,17,031,020902,0.23543868272302776,10.808353266740815,0.027151935297515885,0.22741433021806853,0.552026286966046,17031020902
Census Tract 301.01; Cook County; Illinois,3517,721,50696,2021,429,688,0,94,1386,173,64,193,362,17,031,030101,0.20500426499857832,10.833602291003352,0.21227115289460663,0.13662790697674418,0.5714285714285714,17031030101
Census Tract 301.02; Cook County; Illinois,3034,797,55067,1993,157,498,0,29,1069,129,45,9,236,17,031,030102,0.26268951878707975,10.916305904651349,0.07877571500250878,0.05823293172690763,0.39195509822263797,17031030102
Census Tract 301.03; Cook County; Illinois,1530,355,53684,1279,113,196,0,28,732,17,32,116,119,17,031,030103,0.23202614379084968,10.890870284517696,0.08835027365129007,0.14285714285714285,0.3879781420765027,17031030103
Census Tract 301.04; Cook County; Illinois,1686,480,45865,1256,153,283,0,10,603,85,24,25,219,17,031,030104,0.2846975088967972,10.733457577943756,0.12181528662420382,0.0353356890459364,0.5854063018242123,17031030104
Census Tract 302; Cook County; Illinois,5546,673,91406,3803,227,920,0,8,1339,75,143,54,162,17,031,030200,0.12134871979805265,11.423066400801892,0.05968971864317644,0.008695652173913044,0.3241224794622853,17031030200
Census Tract 303; Cook County; Illinois,3642,555,64662,2146,109,817,13,69,992,52,42,65,158,17,031,030300,0.15238879736408567,11.076928981824887,0.05079217148182665,0.1003671970624235,0.31955645161290325,17031030300
Census Tract 304; Cook County; Illinois,2822,366,97143,1824,64,599,49,130,844,47,21,80,141,17,031,030400,0.12969525159461376,11.48393939868413,0.03508771929824561,0.2988313856427379,0.3424170616113744,17031030400
Census Tract 305; Cook County; Illinois,6157,292,109375,4752,85,1194,0,78,1469,50,99,61,207,17,031,030500,0.04742569433165503,11.602537623659915,0.017887205387205386,0.06532663316582915,0.2838665759019741,17031030500
Census Tract 306.01; Cook County; Illinois,3582,671,51808,2217,106,637,0,73,1380,211,165,168,207,17,031,030601,0.18732551647124512,10.855299856477362,0.04781235904375282,0.11459968602825746,0.5442028985507247,17031030601
Census Tract 306.03; Cook County; Illinois,2305,360,54300,1570,106,407,34,60,1190,77,141,42,200,17,031,030603,0.1561822125813449,10.902279505922026,0.06751592356687898,0.23095823095823095,0.3865546218487395,17031030603
Census Tract 306.04; Cook County; Illinois,2921,538,49816,1945,63,419,35,0,1523,125,135,20,394,17,031,030604,0.1841834988017802,10.816091496552287,0.032390745501285345,0.08353221957040573,0.4425476034143139,17031030604
Census Tract 307.01; Cook County; Illinois,1354,355,47614,923,119,189,0,31,727,33,54,38,204,17,031,030701,0.2621861152141802,10.770882114622454,0.12892741061755147,0.164021164021164,0.45254470426409904,17031030701
Census Tract 307.02; Cook County; Illinois,2266,390,69050,1453,167,503,0,53,607,37,15,69,174,17,031,030702,0.17210944395410416,11.142586158837439,0.11493461803165864,0.10536779324055666,0.48599670510708404,17031030702
Census Tract 307.03; Cook County; Illinois,3093,777,56667,1929,183,497,0,51,1423,160,73,178,234,17,031,030703,0.25121241513094084,10.944947309699929,0.09486780715396578,0.10261569416498995,0.4532677442023893,17031030703
Census Tract 307.06; Cook County; Illinois,2588,144,54143,1491,170,394,0,21,1149,84,0,128,471,17,031,030706,0.05564142194744977,10.899383973528197,0.11401743796109994,0.0532994923857868,0.5944299390774587,17031030706
Census Tract 308; Cook County; Illinois,4089,431,96069,2960,111,828,0,41,1311,132,135,58,221,17,031,030800,0.1054047444362925,11.472821962272894,0.0375,0.049516908212560384,0.41647597254004576,17031030800
Census Tract 309; Cook County; Illinois,3056,180,102309,2244,103,657,28,10,791,20,109,71,142,17,031,030900,0.058900523560209424,11.535752924609598,0.04590017825311943,0.0578386605783866,0.43236409608091025,17031030900
Census Tract 310; Cook County; Illinois,3625,231,121026,2813,106,716,26,0,1049,202,0,121,91,17,031,031000,0.06372413793103449,11.703760677529388,0.03768218983291859,0.036312849162011177,0.39466158245948524,17031031000
